Data,Model,VanA,C_Harrell,C_Uno,C_Gonen,IGS,ILL,RMSE,MAE
Sim2,surv.kaplan.ml_ranfor_rscif.tuned.compose_distr.compose_crank,5572.64465,0.981910467,0.981846154,0.561545849,0.26144136,0.318873161,0.033457304,0.024003247
Sim2,surv.kaplan.ml_ranfor_rrt.tuned.compose_distr.compose_crank,0.228210042,0.946281493,0.946182013,0.738107324,0.185963859,0.084898917,0.220965524,0.184809042
Sim2,surv.kaplan.ml_gbm_mboost_coxph.tuned.compose_distr.compose_crank,1.075589089,0.98405236,0.983991444,0.944416821,0.020424241,0.000904531,0.033219595,0.025510754
Sim2,surv.kaplan.ml_gbm_mboost_cindex.tuned.compose_distr.compose_crank,1.06886742,0.971867681,0.971813798,0.504941523,0.185530405,0.010967562,0.285512091,0.251340572
Sim2,surv.kaplan.ml_gbm_mboost_gehan.tuned.compose_distr.compose_crank,3.994478088,0.98405236,0.983991444,0.530647397,0.243192279,0.024141629,0.403761034,0.364193872
Sim2,surv.kaplan.ml_gbm_coxboost.compose_distr.compose_crank,0.909940675,0.984176993,0.984130025,0.977050424,0.010430119,0.001804024,0.02751602,0.019485385
Sim2,surv.kaplan.scale.encode.nop.ml_svm_van.tuned.compose_distr.compose_crank,9.61657E+15,0.913197339,0.912895024,0.999945879,0.21187699,0.363601814,0.849951625,0.39935317
Sim2,surv.kaplan.scale.encode.nop.ml_ann_coxtime.tuned.compose_distr.compose_crank,1.033782858,0.97615546,0.976028502,0.555161834,0.038243868,0.002066579,0.05427058,0.042294862
Sim2,surv.kaplan.scale.encode.nop.ml_ann_deephit.tuned.compose_distr.compose_crank,7.910896376,0.577079296,0.578851521,0.49983719,0.669659281,0.351287672,1.111641072,1.096463889
Sim2,surv.kaplan.scale.encode.nop.ml_ann_deepsurv.tuned.compose_distr.compose_crank,1.052040736,0.856943309,0.857247531,0.535538137,0.109472666,0.007554365,0.187041079,0.159473102
Sim2,surv.kaplan.scale.encode.nop.ml_ann_loghaz.tuned.compose_distr.compose_crank,3.142048402,0.886609137,0.88709271,0.538414955,0.652130135,0.348476195,0.614737943,0.59972925
Sim2,surv.kaplan.scale.encode.nop.ml_ann_pchaz.tuned.compose_distr.compose_crank,14.90102046,0.926912904,0.926550448,0.523463488,0.624170889,0.350520436,0.422620469,0.396504261
Sim2,surv.kaplan.scale.encode.nop.ml_ann_dnn.tuned.compose_distr.compose_crank,0.647924974,0.979901135,0.979815423,0.551303804,0.044070703,0.00552557,0.117972626,0.110867864
Sim3,surv.kaplan.class_nonpar_kaplan.compose_distr.compose_crank,1.1766327,0.5,0.5,0.25,0.07714974,0.016577603,0.070107396,0.058341495
Sim3,surv.kaplan.class_nonpar_nelson.compose_distr.compose_crank,1.177282897,0.5,0.5,0.25,0.077151124,0.01658199,0.070112862,0.058346762
Sim3,surv.kaplan.class_nonpar_akritas.compose_distr.compose_crank,1.1766327,0.5,0.5,0.25,0.07714974,0.016577603,0.076209564,0.06472312
Sim3,surv.kaplan.class_semipar_coxph.compose_distr.compose_crank,0.899654741,0.983726144,0.983575881,0.979249954,0.011506113,0.003691207,0.015366245,0.011882586
Sim3,surv.kaplan.encode.nop.class_semipar_cvglmnet.tuned.compose_distr.compose_crank,Inf,0.984294534,0.984150231,0.971269548,0.909182287,0.267546302,0.093934708,0.084856901
Sim3,surv.kaplan.class_semipar_penalized.tuned.compose_distr.compose_crank,Inf,0.5,0.5,0.25,0.089833843,0.269292385,0.081412501,0.070598766
Sim3,surv.kaplan.class_par_param.tuned.compose_distr.compose_crank,0.891497994,0.983642697,0.98350215,0.519967675,0.011758699,0.003954057,3.04690198,3.046632217
Sim3,surv.kaplan.class_par_flex.tuned.compose_distr.compose_crank,1.1766327,0.5,0.5,0.25,0.07714974,0.016577603,0.070107396,0.058341495
Sim3,surv.kaplan.ml_ranfor_rfsrc_brier.tuned.compose_distr.compose_crank,1.214405191,0.978621364,0.978459477,0.506046414,0.018104502,0.004493191,0.022676123,0.017999744
Sim3,surv.kaplan.ml_ranfor_rfsrc_logrank.tuned.compose_distr.compose_crank,1.18761608,0.979627669,0.979465902,0.492671341,0.015453713,0.004307159,0.019275335,0.015488933
Sim3,surv.kaplan.ml_ranfor_ranger_c.tuned.compose_distr.compose_crank,1.081260216,0.981025159,0.980846465,0.407883137,0.015485384,0.004933557,0.019769035,0.015740827
Sim3,surv.kaplan.ml_ranfor_rscif.tuned.compose_distr.compose_crank,1417.394914,0.980060458,0.979871631,0.474322915,0.242541456,0.383210366,0.018479307,0.014503279
Sim3,surv.kaplan.ml_ranfor_rrt.tuned.compose_distr.compose_crank,0.184193772,0.965598583,0.965605259,0.571316183,0.124570301,0.16564032,0.079856749,0.070986439
Sim3,surv.kaplan.ml_gbm_mboost_coxph.tuned.compose_distr.compose_crank,1.273161235,0.983960807,0.983839333,0.943329811,0.014712069,0.003329836,0.016994453,0.014159219
Sim3,surv.kaplan.ml_gbm_mboost_cindex.tuned.compose_distr.compose_crank,1.189172427,0.971110106,0.970995665,0.525353789,0.073655653,0.015342765,0.068205857,0.056581582
Sim3,surv.kaplan.ml_gbm_mboost_gehan.tuned.compose_distr.compose_crank,3.694820515,0.983971238,0.983823538,0.519675195,0.082564491,0.024925893,0.077138391,0.065761267
Sim3,surv.kaplan.ml_gbm_coxboost.compose_distr.compose_crank,0.943058601,0.984080732,0.983934224,0.975978673,0.011350866,0.003307106,0.015092507,0.011857453
Sim3,surv.kaplan.scale.encode.nop.ml_svm_van.tuned.compose_distr.compose_crank,6366128.772,0.748847663,0.746319473,0.999924719,0.455941829,0.499523733,1.125787649,0.484351766
Sim3,surv.kaplan.scale.encode.nop.ml_ann_coxtime.tuned.compose_distr.compose_crank,6.334058597,0.948665142,0.948525131,0.500273168,0.06607353,0.012827068,0.063486245,0.052360927
Sim3,surv.kaplan.scale.encode.nop.ml_ann_deephit.tuned.compose_distr.compose_crank,2.795365699,0.97536242,0.975124061,0.541882873,0.689401245,0.258735833,1.040410877,1.039394694
Sim3,surv.kaplan.scale.encode.nop.ml_ann_deepsurv.tuned.compose_distr.compose_crank,6.047363534,0.839185536,0.83897841,0.500957727,0.066670059,0.013330612,0.063667883,0.052692727
Sim3,surv.kaplan.scale.encode.nop.ml_ann_loghaz.tuned.compose_distr.compose_crank,3.440615098,0.979476511,0.979323626,0.514775336,0.637414867,0.258896969,0.286718713,0.285021398
Sim3,surv.kaplan.scale.encode.nop.ml_ann_pchaz.tuned.compose_distr.compose_crank,32.68456562,0.935566783,0.935151935,0.501234114,0.61599791,0.260422704,0.136912155,0.131556452
Sim3,surv.kaplan.scale.encode.nop.ml_ann_dnn.tuned.compose_distr.compose_crank,0.725274079,0.975404084,0.975334883,0.505042374,0.033577061,0.005892408,0.029778988,0.024366563
Sim4,surv.kaplan.class_nonpar_kaplan.compose_distr.compose_crank,0.967978281,0.5,0.5,0.25,0.14017417,0.008639953,1.051643973,0.899804703
Sim4,surv.kaplan.class_nonpar_nelson.compose_distr.compose_crank,0.972285781,0.5,0.5,0.25,0.140164107,0.008632286,1.05198409,0.900588906
Sim4,surv.kaplan.class_nonpar_akritas.compose_distr.compose_crank,0.967978281,0.5,0.5,0.25,0.14017417,0.008639953,1.051643973,0.899804703
Sim4,surv.kaplan.class_semipar_coxph.compose_distr.compose_crank,1.542267525,0.979917645,0.975650132,0.977674723,0.127783217,0.166722472,0.862342,0.446874485
Sim4,surv.kaplan.encode.nop.class_semipar_cvglmnet.tuned.compose_distr.compose_crank,Inf,0.979794681,0.975471377,0.972867131,0.27905558,0.370804412,1.476846033,1.048429037
Sim4,surv.kaplan.class_semipar_penalized.tuned.compose_distr.compose_crank,11.47397133,0.606350362,0.620931506,0.310561925,0.464608544,0.349545198,2.457671207,2.247208874
Sim4,surv.kaplan.class_par_param.tuned.compose_distr.compose_crank,0.885922491,0.978734612,0.974361241,0.562893391,0.040303296,0.002552622,4.14299443,4.010294885
Sim4,surv.kaplan.class_par_flex.tuned.compose_distr.compose_crank,0.967978281,0.5,0.5,0.25,0.14017417,0.008639953,1.051643973,0.899804703
Sim4,surv.kaplan.ml_ranfor_rfsrc_brier.tuned.compose_distr.compose_crank,1.008730107,0.970185161,0.965084732,0.701670468,0.017607527,0.001330207,0.192841448,0.165045335
Sim4,surv.kaplan.ml_ranfor_rfsrc_logrank.tuned.compose_distr.compose_crank,0.96601333,0.966112137,0.960016608,0.700291693,0.018826745,0.001382594,0.204652607,0.164521155
Sim4,surv.kaplan.ml_ranfor_ranger_c.tuned.compose_distr.compose_crank,1.833364305,0.97308743,0.967229545,0.647849977,0.106982304,0.005088734,1.259884361,1.190542941
Sim4,surv.kaplan.ml_ranfor_rscif.tuned.compose_distr.compose_crank,23.79246097,0.970138431,0.965533137,0.710714519,0.063760903,0.075932218,0.131716169,0.086433745
Sim4,surv.kaplan.ml_ranfor_rrt.tuned.compose_distr.compose_crank,0.295426123,0.915713191,0.901673555,0.760443747,0.157998115,0.040912992,1.022035171,0.710050467
Sim4,surv.kaplan.ml_gbm_mboost_coxph.tuned.compose_distr.compose_crank,1.104949246,0.979870915,0.975634336,0.969108164,0.038208235,0.00189672,0.342200701,0.1586186
Sim4,surv.kaplan.ml_gbm_mboost_cindex.tuned.compose_distr.compose_crank,1.080607847,0.963942766,0.956012964,0.528939188,0.122430226,0.007098158,0.932706967,0.799776668
Sim4,surv.kaplan.ml_gbm_mboost_gehan.tuned.compose_distr.compose_crank,8.413123613,0.979423285,0.975189626,0.561030865,0.374209913,0.023142465,2.428847369,2.269058798
Sim4,surv.kaplan.ml_gbm_coxboost.compose_distr.compose_crank,0.975083866,0.97990042,0.975631535,0.977136314,0.010542569,0.001155757,0.094287405,0.056482928
Sim4,surv.kaplan.scale.encode.nop.ml_svm_van.tuned.compose_distr.compose_crank,1.61515E+14,0.941066384,0.929278791,0.999980211,0.320558073,0.190572687,3.459932981,2.514420845
Sim4,surv.kaplan.scale.encode.nop.ml_ann_coxtime.tuned.compose_distr.compose_crank,0.971656383,0.942556858,0.938151419,0.693802118,0.029172076,0.002003621,0.223210876,0.149872394
Sim4,surv.kaplan.scale.encode.nop.ml_ann_deephit.tuned.compose_distr.compose_crank,0.741738999,0.958775222,0.952863634,0.577381551,0.12923305,0.005564056,0.777804158,0.564790945
Sim4,surv.kaplan.scale.encode.nop.ml_ann_deepsurv.tuned.compose_distr.compose_crank,0.957803024,0.773621678,0.753002346,0.605822384,0.110717485,0.007031524,0.846090039,0.66236824
Sim4,surv.kaplan.scale.encode.nop.ml_ann_loghaz.tuned.compose_distr.compose_crank,0.21104179,0.923918307,0.921423256,0.703003228,0.103980016,0.021267442,0.33754001,0.253907844
Sim4,surv.kaplan.scale.encode.nop.ml_ann_pchaz.tuned.compose_distr.compose_crank,0.525331896,0.919756711,0.912496209,0.668385804,0.080629827,0.005250668,0.540549291,0.380171968
Sim4,surv.kaplan.scale.encode.nop.ml_ann_dnn.tuned.compose_distr.compose_crank,0.51622411,0.868873239,0.853876114,0.747014701,0.206665071,0.010965638,1.497838848,1.383941756
Sim5,surv.kaplan.class_nonpar_kaplan.compose_distr.compose_crank,0.958943498,0.5,0.5,0.25,0.17238806,0.012426291,1.118125017,1.002591713
Sim5,surv.kaplan.class_nonpar_nelson.compose_distr.compose_crank,0.9210475,0.5,0.5,0.25,0.17233487,0.012083339,1.120078395,1.004747874
Sim5,surv.kaplan.class_nonpar_akritas.compose_distr.compose_crank,0.958943498,0.5,0.5,0.25,0.17238806,0.012426291,1.118125013,1.002591709
Sim5,surv.kaplan.class_semipar_coxph.compose_distr.compose_crank,1.557280876,0.982315481,0.967478096,0.977456629,0.202518621,0.244034129,0.842928292,0.440400871
Sim5,surv.kaplan.encode.nop.class_semipar_cvglmnet.tuned.compose_distr.compose_crank,Inf,0.982383668,0.967498899,0.97135973,0.385039529,0.475405472,1.459985606,1.042939662
Sim5,surv.kaplan.class_semipar_penalized.tuned.compose_distr.compose_crank,7.168126981,0.63350445,0.682732463,0.328650564,0.375406327,0.372353521,2.234440225,2.024735189
Sim5,surv.kaplan.class_par_param.tuned.compose_distr.compose_crank,0.838872479,0.98043108,0.96326524,0.561653674,0.057891336,0.004136867,4.133072363,4.00479175
Sim5,surv.kaplan.class_par_flex.tuned.compose_distr.compose_crank,0.958943498,0.5,0.5,0.25,0.17238806,0.012426291,1.118125017,1.002591713
Sim5,surv.kaplan.ml_ranfor_rfsrc_brier.tuned.compose_distr.compose_crank,0.946390703,0.955811977,0.939302266,0.694115698,0.028689264,0.002363122,0.307149281,0.27899765
Sim5,surv.kaplan.ml_ranfor_rfsrc_logrank.tuned.compose_distr.compose_crank,0.907371877,0.965826154,0.936013758,0.695276082,0.031704231,0.00248994,0.269798815,0.237394277
Sim5,surv.kaplan.ml_ranfor_ranger_c.tuned.compose_distr.compose_crank,1.626152736,0.965065241,0.941158772,0.64262408,0.110917864,0.006283648,1.310749141,1.238484533
Sim5,surv.kaplan.ml_ranfor_rscif.tuned.compose_distr.compose_crank,23.64845129,0.964006364,0.948097169,0.705565929,0.121790121,0.139560348,0.166936725,0.131613484
Sim5,surv.kaplan.ml_ranfor_rrt.tuned.compose_distr.compose_crank,0.24799816,0.884704173,0.844729066,0.729634523,0.189335114,0.033006842,0.86898819,0.594515308
Sim5,surv.kaplan.ml_gbm_mboost_coxph.tuned.compose_distr.compose_crank,0.904653397,0.981470168,0.966949582,0.956360936,0.017910383,0.001341313,0.105485624,0.066905452
Sim5,surv.kaplan.ml_gbm_mboost_cindex.tuned.compose_distr.compose_crank,1.085700983,0.9669891,0.935325146,0.534692407,0.149298954,0.010580666,0.990600357,0.898409488
Sim5,surv.kaplan.ml_gbm_mboost_gehan.tuned.compose_distr.compose_crank,8.307626836,0.981242239,0.965132475,0.559944153,0.362339246,0.02792869,2.587445075,2.4330039
Sim5,surv.kaplan.ml_gbm_coxboost.compose_distr.compose_crank,0.901235372,0.982283175,0.967479825,0.976769567,0.016050255,0.001584393,0.104364481,0.064157442
Sim5,surv.kaplan.scale.encode.nop.ml_svm_van.tuned.compose_distr.compose_crank,Inf,0.964350939,0.935542226,0.999996543,0.326252189,0.229441211,3.435369921,2.487903842
Sim5,surv.kaplan.scale.encode.nop.ml_ann_coxtime.tuned.compose_distr.compose_crank,0.827907036,0.974939406,0.954555929,0.716369271,0.025171572,0.004419876,0.151470622,0.092885174
Sim5,surv.kaplan.scale.encode.nop.ml_ann_deephit.tuned.compose_distr.compose_crank,0.16529384,0.747298121,0.676204205,0.667930603,0.255884542,0.034889116,0.819687309,0.577279227
Sim5,surv.kaplan.scale.encode.nop.ml_ann_deepsurv.tuned.compose_distr.compose_crank,0.894477494,0.820950806,0.768913984,0.604134738,0.134141951,0.009672711,0.809327772,0.695489029
Sim5,surv.kaplan.scale.encode.nop.ml_ann_loghaz.tuned.compose_distr.compose_crank,0.243579761,0.956368327,0.937999904,0.654110014,0.197924314,0.011504794,0.487265242,0.308859563
Sim5,surv.kaplan.scale.encode.nop.ml_ann_pchaz.tuned.compose_distr.compose_crank,0.520762866,0.927661002,0.90312171,0.641328275,0.120150423,0.006591209,0.594871493,0.37762662
Sim5,surv.kaplan.scale.encode.nop.ml_ann_dnn.tuned.compose_distr.compose_crank,0.597363636,0.80937171,0.775807798,0.75006485,0.306611322,0.024100821,2.063854258,1.881283299
Sim6,surv.kaplan.class_nonpar_kaplan.compose_distr.compose_crank,0.954798906,0.5,0.5,0.25,0.181963085,0.017338771,1.505592859,1.374055548
Sim6,surv.kaplan.class_nonpar_nelson.compose_distr.compose_crank,0.95832835,0.5,0.5,0.25,0.18189658,0.017327773,1.508958496,1.377099274
Sim6,surv.kaplan.class_nonpar_akritas.compose_distr.compose_crank,0.954798906,0.5,0.5,0.25,0.181963085,0.017338771,1.505592814,1.374055507
Sim6,surv.kaplan.class_semipar_coxph.compose_distr.compose_crank,1.443672071,0.983170688,0.927410305,0.978117466,0.323608875,0.411443829,0.821263186,0.417848977
Sim6,surv.kaplan.encode.nop.class_semipar_cvglmnet.tuned.compose_distr.compose_crank,Inf,0.983144343,0.937607408,0.97108835,0.532580557,0.661167096,1.421926025,0.994379859
Sim6,surv.kaplan.class_semipar_penalized.tuned.compose_distr.compose_crank,6.189735806,0.662952483,0.78313005,0.36316812,0.202089052,0.329468989,1.900746526,1.701998731
Sim6,surv.kaplan.class_par_param.tuned.compose_distr.compose_crank,0.831341213,0.98065722,0.919086397,0.560270071,0.074242964,0.006799514,4.084691804,3.956191883
Sim6,surv.kaplan.class_par_flex.tuned.compose_distr.compose_crank,0.954798906,0.5,0.5,0.25,0.181963085,0.017338771,1.505592859,1.374055548
Sim6,surv.kaplan.ml_ranfor_rfsrc_brier.tuned.compose_distr.compose_crank,0.977740501,0.906802297,0.858775556,0.664183319,0.052165731,0.006999399,0.742737366,0.679626958
Sim6,surv.kaplan.ml_ranfor_rfsrc_logrank.tuned.compose_distr.compose_crank,0.893349834,0.931026995,0.787613034,0.662156165,0.089671739,0.008810239,0.760243562,0.722322142
Sim6,surv.kaplan.ml_ranfor_ranger_c.tuned.compose_distr.compose_crank,1.20664381,0.90814811,0.840419888,0.63374275,0.099238248,0.009121819,1.244901858,1.164618004
Sim6,surv.kaplan.ml_ranfor_rscif.tuned.compose_distr.compose_crank,34.35941348,0.921764612,0.887012482,0.692381918,0.222071131,0.236704592,0.393417041,0.355501
Sim6,surv.kaplan.ml_ranfor_rrt.tuned.compose_distr.compose_crank,0.144767104,0.898070991,0.739447057,0.750644624,0.176587709,0.028379623,0.560156978,0.348130301
Sim6,surv.kaplan.ml_gbm_mboost_coxph.tuned.compose_distr.compose_crank,0.879971696,0.98318392,0.943502545,0.957661271,0.025128501,0.004649967,0.121815845,0.076594958
Sim6,surv.kaplan.ml_gbm_mboost_cindex.tuned.compose_distr.compose_crank,1.014195499,0.969620228,0.870410204,0.511145949,0.171578304,0.016514309,1.459736851,1.33836872
Sim6,surv.kaplan.ml_gbm_mboost_gehan.tuned.compose_distr.compose_crank,7.629641726,0.981673181,0.924609423,0.558100462,0.290286869,0.033118405,2.5732944,2.397902897
Sim6,surv.kaplan.ml_gbm_coxboost.compose_distr.compose_crank,0.889419047,0.983078361,0.936757028,0.977483571,0.02339606,0.004786689,0.12515347,0.075487355
Sim6,surv.kaplan.scale.encode.nop.ml_svm_van.tuned.compose_distr.compose_crank,343238288,0.977464199,0.907373548,0.999983847,0.237085327,0.268479948,3.369217263,2.40787588
Sim6,surv.kaplan.scale.encode.nop.ml_ann_coxtime.tuned.compose_distr.compose_crank,0.943773881,0.946193755,0.852298856,0.71112442,0.044087119,0.006496516,0.24237914,0.171791695
Sim6,surv.kaplan.scale.encode.nop.ml_ann_deephit.tuned.compose_distr.compose_crank,0.288080993,0.84292227,0.713822544,0.548678339,0.293286846,0.091332604,1.005673075,0.656201594
Sim6,surv.kaplan.scale.encode.nop.ml_ann_deepsurv.tuned.compose_distr.compose_crank,0.892157004,0.762899041,0.658517778,0.640847266,0.140957872,0.014320847,1.042049462,0.931227565
Sim6,surv.kaplan.scale.encode.nop.ml_ann_loghaz.tuned.compose_distr.compose_crank,0.150104848,0.902223885,0.751988888,0.702053368,0.170589524,0.081852471,0.48589126,0.379480255
Sim6,surv.kaplan.scale.encode.nop.ml_ann_pchaz.tuned.compose_distr.compose_crank,0.809440127,0.921197236,0.842712283,0.662900031,0.119425417,0.081215758,0.619607418,0.574421942
Sim6,surv.kaplan.scale.encode.nop.ml_ann_dnn.tuned.compose_distr.compose_crank,2958.508175,0.514787495,0.517648935,0.49020499,0.372773636,0.14174034,2.936426916,2.758056973
Sim7,surv.kaplan.class_nonpar_kaplan.compose_distr.compose_crank,0.984439356,0.5,0.5,0.25,0.091455581,0.0086541,1.036064796,0.85617571
Sim7,surv.kaplan.class_nonpar_nelson.compose_distr.compose_crank,0.947460735,0.5,0.5,0.25,0.091450129,0.008620841,1.036086792,0.856688055
Sim7,surv.kaplan.class_nonpar_akritas.compose_distr.compose_crank,0.984439356,0.5,0.5,0.25,0.091455581,0.0086541,1.036064796,0.856175709
Sim7,surv.kaplan.class_semipar_coxph.compose_distr.compose_crank,1.560607966,0.978215098,0.977585196,0.977382004,0.072746752,0.120078523,0.849362613,0.437988032
Sim7,surv.kaplan.encode.nop.class_semipar_cvglmnet.tuned.compose_distr.compose_crank,Inf,0.978161693,0.977532506,0.973896801,0.17222561,0.36520222,1.461679136,1.031136801
Sim7,surv.kaplan.class_semipar_penalized.tuned.compose_distr.compose_crank,10.20621451,0.618861318,0.622182429,0.321655333,0.334164793,0.340639466,2.27273857,2.058777539
